episode,winner,left_Fire_vizard,left_Lightning_Mage,left_Wanderer_Magician,right_Fire_vizard,right_Lightning_Mage,right_Wanderer_Magician
1136,Left Team Wins!,4,21,0,9,8,8
1137,Left Team Wins!,7,16,0,8,9,6
1138,Right Team Wins!,11,8,2,7,7,7
1139,Right Team Wins!,19,11,5,11,12,13
1140,Right Team Wins!,14,16,6,9,11,16
1141,Draw!,14,20,2,12,10,14
1142,Right Team Wins!,13,7,2,5,8,9
1143,Left Team Wins!,15,18,0,10,11,12
1144,Right Team Wins!,19,7,4,12,11,7
1145,Right Team Wins!,16,5,6,9,9,9
1146,Left Team Wins!,25,4,0,10,10,9
1147,Right Team Wins!,12,7,7,7,9,10
1148,Right Team Wins!,24,5,2,15,9,7
1149,Left Team Wins!,25,2,2,11,9,9
1150,Right Team Wins!,24,6,1,7,11,13
1151,Draw!,32,1,3,13,9,13
1152,Right Team Wins!,22,3,2,8,10,9
1153,Right Team Wins!,23,3,2,8,10,10
1154,Right Team Wins!,18,2,4,8,11,4
1155,Left Team Wins!,23,6,2,10,8,13
1156,Right Team Wins!,17,8,3,8,12,7
1157,Right Team Wins!,15,6,3,8,7,9
1158,Right Team Wins!,13,7,3,10,6,7
1159,Right Team Wins!,15,8,1,5,9,11
1160,Left Team Wins!,14,12,3,6,9,14
1161,Right Team Wins!,8,10,1,8,7,4
1162,Right Team Wins!,19,6,0,7,13,5
1163,Draw!,26,8,2,11,12,13
1164,Right Team Wins!,19,7,3,10,11,8
1165,Right Team Wins!,21,11,3,8,14,14
1166,Left Team Wins!,18,4,2,8,8,8
1167,Right Team Wins!,17,5,3,9,10,6
1168,Right Team Wins!,16,11,2,13,8,8
1169,Right Team Wins!,11,10,3,6,7,11
1170,Left Team Wins!,10,8,4,8,9,5
1171,Right Team Wins!,11,6,4,8,9,4
1172,Left Team Wins!,12,7,2,6,10,5
1173,Left Team Wins!,7,11,1,7,8,4
1174,Left Team Wins!,11,14,1,11,6,9
1175,Left Team Wins!,5,12,2,6,8,5
1176,Left Team Wins!,21,6,0,12,8,7
1177,Draw!,24,11,1,10,11,15
1178,Right Team Wins!,13,9,3,9,8,7
1179,Right Team Wins!,14,8,6,6,8,14
1180,Right Team Wins!,11,5,7,7,11,5
1181,Right Team Wins!,21,4,2,9,9,8
1182,Right Team Wins!,18,4,2,7,10,7
1183,Left Team Wins!,23,3,1,10,8,9
1184,Left Team Wins!,24,1,3,8,11,9
1185,Left Team Wins!,23,1,1,13,7,5
1186,Left Team Wins!,24,2,2,10,8,9
1187,Draw!,33,0,3,11,14,11
1188,Left Team Wins!,28,1,2,12,7,12
1189,Right Team Wins!,14,4,3,4,9,8
1190,Left Team Wins!,30,0,0,7,7,16
1191,Left Team Wins!,22,0,1,10,10,2
1192,Right Team Wins!,18,3,1,11,9,2
1193,Right Team Wins!,28,0,7,15,10,10
1194,Right Team Wins!,16,1,2,10,6,3
1195,Left Team Wins!,26,0,1,7,8,12
1196,Draw!,32,0,4,11,13,11
1197,Right Team Wins!,21,4,4,8,10,11
1198,Left Team Wins!,22,1,4,5,12,10
1199,Right Team Wins!,18,3,10,8,6,16
1200,Draw!,33,0,3,13,11,12
1201,Right Team Wins!,27,1,4,12,15,5
1202,Right Team Wins!,18,2,9,10,5,12
1203,Right Team Wins!,21,1,10,16,6,10
1204,Left Team Wins!,26,0,7,14,12,7
1205,Right Team Wins!,24,1,8,9,15,9
1206,Right Team Wins!,26,1,8,11,13,12
1207,Right Team Wins!,15,3,2,6,9,5
1208,Right Team Wins!,24,2,5,6,16,9
1209,Draw!,28,2,6,18,6,12
1210,Right Team Wins!,26,0,5,7,15,9
1211,Left Team Wins!,21,2,7,16,8,6
1212,Left Team Wins!,30,1,5,11,17,8
1213,Left Team Wins!,27,1,6,12,9,13
1214,Draw!,31,0,5,7,12,16
1215,Left Team Wins!,30,3,3,9,18,9
1216,Left Team Wins!,34,2,0,13,11,12
1217,Right Team Wins!,18,2,5,10,6,9
1218,Right Team Wins!,28,2,2,11,10,11
1219,Left Team Wins!,27,1,3,13,7,11
1220,Right Team Wins!,17,4,3,7,11,6
1221,Left Team Wins!,30,1,1,11,13,8
1222,Right Team Wins!,19,4,0,5,11,8
1223,Right Team Wins!,16,1,4,8,10,3
1224,Left Team Wins!,20,2,2,10,8,6
1225,Right Team Wins!,25,1,6,8,11,13
1226,Left Team Wins!,22,1,5,10,10,8
1227,Right Team Wins!,29,1,4,17,8,9
1228,Right Team Wins!,22,1,2,10,6,9
1229,Right Team Wins!,21,1,5,11,8,8
1230,Right Team Wins!,17,3,4,9,9,6
1231,Right Team Wins!,20,1,3,8,6,10
1232,Right Team Wins!,24,2,6,13,10,9
1233,Left Team Wins!,33,1,2,9,11,15
1234,Right Team Wins!,21,3,6,10,9,11
1235,Right Team Wins!,16,2,13,9,13,9
1236,Left Team Wins!,28,3,1,7,13,12
1237,Left Team Wins!,29,0,3,15,8,9
1238,Left Team Wins!,28,1,6,12,15,9
1239,Right Team Wins!,18,2,16,11,10,14
1240,Draw!,27,1,8,9,10,17
1241,Draw!,24,4,8,14,10,12
1242,Left Team Wins!,11,13,3,9,10,8
1243,Right Team Wins!,2,16,0,6,6,6
1244,Left Team Wins!,5,12,0,4,7,6
1245,Left Team Wins!,9,16,2,9,6,12
1246,Right Team Wins!,14,18,4,6,11,19
1247,Left Team Wins!,7,15,1,10,8,5
1248,Right Team Wins!,2,12,1,8,6,1
1249,Left Team Wins!,7,9,1,8,6,2
1250,Left Team Wins!,8,13,2,8,8,7
1251,Right Team Wins!,5,15,0,6,6,8
1252,Left Team Wins!,9,16,0,9,10,6
1253,Left Team Wins!,11,13,2,9,8,9
1254,Right Team Wins!,12,8,10,9,10,11
1255,Right Team Wins!,13,10,5,6,10,12
1256,Right Team Wins!,10,7,8,8,10,7
1257,Left Team Wins!,9,11,1,4,9,7
1258,Left Team Wins!,9,10,1,10,6,3
1259,Right Team Wins!,8,16,3,8,7,12
1260,Left Team Wins!,11,19,3,12,8,13
1261,Right Team Wins!,6,18,3,8,9,10
1262,Left Team Wins!,11,12,0,8,5,10
1263,Left Team Wins!,17,11,0,9,10,9
1264,Left Team Wins!,19,9,0,10,11,7
1265,Right Team Wins!,13,9,5,11,11,5
1266,Draw!,16,18,2,18,9,9
1267,Left Team Wins!,12,8,0,7,7,6
1268,Left Team Wins!,10,6,1,6,11,0
1269,Left Team Wins!,19,13,2,14,9,11
1270,Left Team Wins!,16,17,1,12,12,10
1271,Right Team Wins!,18,6,1,11,5,9
1272,Left Team Wins!,16,12,1,5,10,14
1273,Left Team Wins!,16,2,6,11,8,5
1274,Draw!,33,0,3,13,12,10
1275,Right Team Wins!,22,2,2,6,13,7
1276,Right Team Wins!,18,3,1,8,10,4
1277,Right Team Wins!,20,5,1,7,9,10
1278,Right Team Wins!,19,9,1,6,9,14
1279,Right Team Wins!,32,2,1,22,9,5
1280,Right Team Wins!,24,1,0,10,5,11
1281,Right Team Wins!,26,3,1,12,8,10
1282,Right Team Wins!,23,1,0,8,7,10
1283,Right Team Wins!,20,5,2,11,9,8
1284,Right Team Wins!,22,4,0,9,4,13
1285,Left Team Wins!,23,0,2,5,12,8
1286,Right Team Wins!,28,6,2,15,7,13
1287,Left Team Wins!,22,2,1,10,7,8
1288,Left Team Wins!,21,5,3,6,9,14
1289,Left Team Wins!,22,3,1,11,10,5
1290,Right Team Wins!,20,11,0,8,11,12
1291,Right Team Wins!,15,13,3,11,8,12
1292,Right Team Wins!,15,10,1,15,4,7
1293,Right Team Wins!,13,16,0,12,7,10
1294,Right Team Wins!,17,17,1,8,18,10
1295,Left Team Wins!,19,6,2,12,8,7
1296,Left Team Wins!,16,5,0,11,5,5
1297,Left Team Wins!,20,9,4,11,10,12
1298,Right Team Wins!,14,13,3,9,9,12
1299,Right Team Wins!,15,9,4,15,3,10
1300,Right Team Wins!,7,10,2,4,12,3
1301,Left Team Wins!,19,4,2,5,9,11
1302,Left Team Wins!,19,4,1,8,10,6
1303,Left Team Wins!,20,12,3,12,10,13
1304,Right Team Wins!,14,14,4,9,8,15
1305,Right Team Wins!,10,20,1,12,10,9
1306,Right Team Wins!,8,14,1,3,10,10
1307,Right Team Wins!,13,18,4,9,14,12
1308,Right Team Wins!,8,12,3,8,7,9
1309,Right Team Wins!,5,12,4,5,10,5
1310,Right Team Wins!,8,13,1,6,6,10
1311,Right Team Wins!,14,19,2,10,12,14
1312,Left Team Wins!,17,5,2,9,7,8
1313,Right Team Wins!,12,10,4,7,8,11
1314,Right Team Wins!,5,14,2,4,10,7
1315,Right Team Wins!,7,15,4,11,7,8
1316,Right Team Wins!,5,20,3,9,11,8
1317,Right Team Wins!,5,13,3,6,6,9
1318,Right Team Wins!,13,21,1,10,14,11
1319,Right Team Wins!,2,16,3,11,6,4
1320,Left Team Wins!,20,5,0,7,14,4
1321,Right Team Wins!,5,15,4,3,9,12
1322,Right Team Wins!,7,11,2,3,9,8
1323,Right Team Wins!,3,14,1,7,5,6
1324,Right Team Wins!,1,26,1,5,7,16
1325,Right Team Wins!,5,15,2,10,7,5
1326,Left Team Wins!,18,6,0,10,11,3
1327,Draw!,16,19,1,15,8,13
1328,Right Team Wins!,4,14,0,8,6,4
1329,Left Team Wins!,15,10,0,5,9,11
1330,Left Team Wins!,14,9,0,7,8,8
1331,Right Team Wins!,4,21,0,10,7,8
1332,Left Team Wins!,16,6,0,7,6,9
1333,Draw!,15,21,0,15,11,9
1334,Right Team Wins!,6,10,1,6,5,6
1335,Right Team Wins!,6,12,4,1,9,12
1336,Left Team Wins!,18,7,2,6,12,9
1337,Right Team Wins!,7,8,4,5,9,5
1338,Right Team Wins!,10,13,2,9,11,5
1339,Left Team Wins!,8,9,5,9,4,9
1340,Left Team Wins!,8,16,2,8,7,11
1341,Left Team Wins!,7,9,5,5,9,7
1342,Right Team Wins!,13,16,3,10,10,12
1343,Right Team Wins!,7,14,2,6,10,7
1344,Right Team Wins!,7,12,4,8,8,7
1345,Right Team Wins!,12,11,3,7,8,11
1346,Right Team Wins!,7,9,8,4,11,9
1347,Left Team Wins!,16,8,6,8,8,14
1348,Left Team Wins!,16,12,1,12,9,7
1349,Right Team Wins!,5,14,3,7,9,6
1350,Right Team Wins!,9,21,3,13,11,9
1351,Right Team Wins!,5,17,4,9,6,11
1352,Left Team Wins!,20,13,3,11,6,19
1353,Right Team Wins!,14,19,2,10,11,15
1354,Right Team Wins!,13,10,5,9,8,11
1355,Left Team Wins!,10,7,0,8,5,4
1356,Left Team Wins!,9,8,2,4,9,6
1357,Left Team Wins!,8,11,1,9,3,8
1358,Right Team Wins!,7,25,3,13,12,10
1359,Right Team Wins!,10,12,2,7,7,10
1360,Right Team Wins!,2,19,1,9,7,6
1361,Right Team Wins!,8,15,3,11,10,5
1362,Left Team Wins!,12,7,5,7,6,11
1363,Right Team Wins!,18,14,1,8,15,10
1364,Right Team Wins!,4,17,2,8,6,8
1365,Left Team Wins!,4,32,0,14,13,9
1366,Left Team Wins!,3,16,4,8,7,8
1367,Right Team Wins!,3,16,3,8,8,6
1368,Left Team Wins!,8,8,5,9,3,9
1369,Right Team Wins!,2,16,3,9,8,4
1370,Right Team Wins!,8,10,2,2,10,8
1371,Left Team Wins!,14,8,1,9,5,9
1372,Right Team Wins!,11,17,2,12,6,12
1373,Right Team Wins!,6,14,2,8,10,4
1374,Left Team Wins!,16,6,4,8,15,3
1375,Left Team Wins!,15,8,4,9,10,8
1376,Left Team Wins!,16,6,4,8,8,10
1377,Left Team Wins!,15,15,6,12,11,13
1378,Left Team Wins!,10,7,6,8,6,9
1379,Left Team Wins!,12,7,4,7,8,8
1380,Draw!,16,13,6,13,14,9
1381,Left Team Wins!,11,4,4,14,4,1
1382,Left Team Wins!,11,17,8,17,13,6
1383,Left Team Wins!,8,10,10,3,14,11
1384,Left Team Wins!,8,9,12,12,7,10
1385,Right Team Wins!,16,10,7,8,12,13
1386,Left Team Wins!,5,10,10,14,5,6
1387,Left Team Wins!,5,8,16,6,11,14
1388,Left Team Wins!,11,7,16,15,6,13
1389,Draw!,3,10,23,10,14,12
1390,Right Team Wins!,7,10,6,11,8,4
1391,Draw!,6,13,17,8,9,18
1392,Draw!,1,18,17,15,11,10
1393,Left Team Wins!,3,17,14,15,12,7
1394,Right Team Wins!,1,14,15,10,8,12
1395,Left Team Wins!,2,16,8,12,4,10
1396,Left Team Wins!,0,12,8,4,10,6
1397,Right Team Wins!,2,17,7,5,13,8
1398,Right Team Wins!,3,20,11,12,5,17
1399,Right Team Wins!,4,24,4,8,15,9
1400,Right Team Wins!,1,15,8,7,10,7
1401,Right Team Wins!,4,22,2,6,10,12
1402,Right Team Wins!,4,14,4,3,12,7
1403,Left Team Wins!,5,21,4,8,13,9
1404,Left Team Wins!,6,9,3,6,6,5
1405,Left Team Wins!,9,17,4,8,9,13
1406,Right Team Wins!,4,18,2,12,5,7
1407,Left Team Wins!,4,17,3,8,10,6
1408,Right Team Wins!,4,13,3,4,10,6
1409,Right Team Wins!,4,17,2,7,7,9
1410,Left Team Wins!,4,20,1,4,12,9
1411,Left Team Wins!,5,13,1,11,4,4
1412,Right Team Wins!,4,18,2,7,5,12
1413,Left Team Wins!,4,18,2,12,6,6
1414,Left Team Wins!,5,13,1,6,6,7
1415,Left Team Wins!,5,11,2,7,7,3
1416,Left Team Wins!,4,14,1,10,4,5
1417,Right Team Wins!,3,31,1,12,10,14
1418,Left Team Wins!,3,29,1,16,6,11
1419,Right Team Wins!,2,18,5,11,6,8
1420,Right Team Wins!,4,15,3,6,8,8
1421,Left Team Wins!,6,13,0,6,10,3
1422,Right Team Wins!,1,22,4,7,10,10
1423,Left Team Wins!,5,28,0,11,12,9
1424,Right Team Wins!,4,16,5,5,9,10
1425,Right Team Wins!,5,17,1,6,12,5
1426,Left Team Wins!,3,16,1,7,5,8
1427,Left Team Wins!,7,18,0,10,5,10
1428,Left Team Wins!,4,15,2,6,7,8
1429,Left Team Wins!,5,24,1,7,9,13
1430,Left Team Wins!,5,25,1,8,16,7
1431,Right Team Wins!,9,15,2,15,5,6
1432,Right Team Wins!,9,9,2,8,6,6
1433,Left Team Wins!,3,17,2,8,7,7
1434,Right Team Wins!,19,5,1,8,10,6
1435,Left Team Wins!,19,6,1,10,10,6
1436,Left Team Wins!,17,5,3,7,8,10
1437,Left Team Wins!,23,9,3,13,12,9
1438,Right Team Wins!,16,3,1,8,7,5
1439,Right Team Wins!,11,6,2,7,7,5
1440,Left Team Wins!,12,9,0,5,8,8
1441,Right Team Wins!,9,18,1,9,8,11
1442,Left Team Wins!,12,10,3,4,10,10
1443,Right Team Wins!,15,18,2,11,12,12
1444,Left Team Wins!,12,13,1,8,10,8
1445,Right Team Wins!,18,8,2,8,7,13
1446,Right Team Wins!,20,7,2,14,8,7
1447,Right Team Wins!,19,6,1,12,6,8
1448,Right Team Wins!,9,7,1,8,4,5
1449,Left Team Wins!,15,10,2,6,10,11
1450,Draw!,16,20,0,14,9,13
1451,Right Team Wins!,18,8,2,12,9,7
1452,Right Team Wins!,20,5,5,6,13,11
1453,Left Team Wins!,7,9,3,6,6,7
1454,Left Team Wins!,9,11,1,6,9,6
1455,Left Team Wins!,6,22,1,10,9,10
1456,Left Team Wins!,0,21,1,7,7,8
1457,Right Team Wins!,4,14,2,6,8,6
1458,Left Team Wins!,1,15,1,9,7,1
1459,Left Team Wins!,1,18,1,7,6,7
1460,Left Team Wins!,1,28,0,12,4,12
1461,Left Team Wins!,0,30,1,8,9,14
1462,Right Team Wins!,6,14,1,9,7,5
1463,Left Team Wins!,1,26,0,8,12,7
1464,Left Team Wins!,1,24,0,7,7,11
1465,Left Team Wins!,0,35,1,10,10,16
1466,Left Team Wins!,0,19,0,7,6,6
1467,Left Team Wins!,0,25,0,8,9,7
1468,Left Team Wins!,0,17,1,7,5,6
1469,Right Team Wins!,4,19,1,9,10,5
1470,Left Team Wins!,1,19,0,6,8,6
1471,Right Team Wins!,2,22,5,12,9,8
1472,Left Team Wins!,0,27,0,10,7,10
1473,Left Team Wins!,0,21,0,6,6,9
1474,Left Team Wins!,0,18,0,5,6,6
1475,Right Team Wins!,10,22,4,5,16,15
1476,Right Team Wins!,2,16,5,4,10,9
1477,Left Team Wins!,0,22,1,9,2,12
1478,Left Team Wins!,0,19,1,7,6,7
1479,Right Team Wins!,6,14,7,8,7,12
1480,Left Team Wins!,1,20,0,11,6,4
1481,Right Team Wins!,3,15,5,9,7,7
1482,Right Team Wins!,7,15,9,6,15,10
1483,Right Team Wins!,4,12,5,6,7,8
1484,Left Team Wins!,0,19,0,2,6,11
1485,Right Team Wins!,1,16,4,8,6,7
1486,Right Team Wins!,3,21,4,9,8,11
1487,Left Team Wins!,0,25,1,13,7,6
1488,Right Team Wins!,2,18,4,12,6,6
1489,Left Team Wins!,0,15,0,6,6,2
1490,Left Team Wins!,0,18,1,4,11,4
1491,Left Team Wins!,0,20,1,9,5,7
1492,Right Team Wins!,5,11,5,8,7,6
1493,Left Team Wins!,0,18,0,10,2,6
1494,Left Team Wins!,0,20,0,4,8,8
1495,Right Team Wins!,2,23,4,11,10,8
1496,Right Team Wins!,2,20,1,9,3,11
1497,Right Team Wins!,1,15,4,11,6,3
1498,Right Team Wins!,4,16,2,5,6,11
1499,Left Team Wins!,0,22,2,7,12,5
1500,Left Team Wins!,0,19,1,8,6,5
1501,Right Team Wins!,3,26,1,9,10,11
1502,Right Team Wins!,4,20,0,8,5,11
1503,Right Team Wins!,0,16,9,6,7,12
1504,Right Team Wins!,4,15,3,8,7,7
1505,Left Team Wins!,4,16,0,5,9,6
1506,Right Team Wins!,4,23,4,9,12,10
1507,Right Team Wins!,4,14,4,8,8,6
1508,Right Team Wins!,2,18,6,13,7,6
1509,Left Team Wins!,4,14,4,8,2,12
1510,Left Team Wins!,5,14,0,10,7,2
1511,Right Team Wins!,3,26,6,9,14,12
1512,Left Team Wins!,9,14,1,10,7,7
1513,Left Team Wins!,10,14,0,9,5,9
1514,Left Team Wins!,11,16,0,13,4,10
1515,Left Team Wins!,10,19,0,10,7,12
1516,Left Team Wins!,1,17,0,3,7,8
1517,Left Team Wins!,0,21,2,12,3,8
1518,Right Team Wins!,2,23,5,14,7,9
1519,Left Team Wins!,1,20,1,8,7,7
1520,Left Team Wins!,0,26,1,15,6,6
1521,Right Team Wins!,8,13,2,9,7,7
1522,Left Team Wins!,1,19,0,5,7,8
1523,Right Team Wins!,3,22,1,8,10,8
1524,Right Team Wins!,3,25,4,11,11,10
1525,Right Team Wins!,4,14,3,5,10,6
1526,Left Team Wins!,0,16,1,7,6,4
1527,Left Team Wins!,1,30,0,10,9,12
1528,Left Team Wins!,0,28,0,6,8,14
1529,Left Team Wins!,0,17,0,6,9,2
1530,Right Team Wins!,4,17,4,7,7,11
1531,Left Team Wins!,1,21,0,8,6,8
1532,Right Team Wins!,5,29,1,12,7,16
1533,Right Team Wins!,5,13,1,8,4,7
1534,Left Team Wins!,0,29,0,12,7,10
1535,Right Team Wins!,4,20,1,6,12,7
1536,Right Team Wins!,5,24,2,8,11,12
1537,Left Team Wins!,1,19,0,4,9,6
1538,Right Team Wins!,2,32,1,15,7,13
1539,Right Team Wins!,5,19,2,11,5,10
1540,Left Team Wins!,0,24,0,6,11,7
1541,Right Team Wins!,4,16,2,9,5,8
1542,Right Team Wins!,4,30,1,11,13,12
1543,Left Team Wins!,0,30,0,8,11,11
1544,Left Team Wins!,0,24,0,8,4,11
1545,Right Team Wins!,1,25,1,8,10,8
1546,Right Team Wins!,4,28,1,11,9,12
1547,Left Team Wins!,0,21,0,8,8,5
1548,Left Team Wins!,0,29,2,7,13,11
1549,Left Team Wins!,1,18,1,14,2,4
1550,Left Team Wins!,4,24,2,6,12,12
1551,Left Team Wins!,0,24,1,7,6,12
1552,Right Team Wins!,5,14,1,6,7,7
1553,Right Team Wins!,2,20,1,5,5,13
1554,Right Team Wins!,3,15,1,5,8,6
1555,Right Team Wins!,0,21,3,6,13,5
1556,Left Team Wins!,0,24,0,9,9,6
1557,Right Team Wins!,3,15,1,6,6,7
1558,Right Team Wins!,4,14,0,2,8,8
1559,Left Team Wins!,1,22,0,5,8,10
1560,Left Team Wins!,0,27,0,11,8,8
1561,Right Team Wins!,2,23,1,7,8,11
1562,Right Team Wins!,2,14,4,9,6,5
1563,Left Team Wins!,0,21,1,8,7,7
1564,Right Team Wins!,3,16,5,11,6,7
1565,Right Team Wins!,2,18,4,10,8,6
1566,Left Team Wins!,0,17,0,6,5,6
1567,Right Team Wins!,4,15,1,9,6,5
1568,Right Team Wins!,3,16,3,9,6,6
1569,Right Team Wins!,1,19,1,7,6,7
1570,Right Team Wins!,5,16,0,5,9,7
1571,Right Team Wins!,1,16,3,4,10,6
1572,Left Team Wins!,0,17,0,6,5,6
1573,Left Team Wins!,0,15,1,5,9,2
1574,Left Team Wins!,0,21,1,4,7,11
1575,Left Team Wins!,0,24,1,6,6,13
1576,Left Team Wins!,0,19,1,6,6,8
1577,Right Team Wins!,0,30,3,13,9,11
1578,Right Team Wins!,2,21,2,13,8,4
1579,Left Team Wins!,0,17,1,6,6,6
1580,Left Team Wins!,0,26,2,9,9,10
1581,Left Team Wins!,1,22,1,7,8,9
1582,Left Team Wins!,1,26,0,8,5,14
1583,Left Team Wins!,1,18,0,5,7,7
1584,Left Team Wins!,1,16,0,5,6,6
1585,Left Team Wins!,2,19,0,9,6,6
1586,Right Team Wins!,3,13,3,8,6,5
1587,Left Team Wins!,1,28,1,7,11,12
1588,Right Team Wins!,2,18,1,8,4,9
1589,Right Team Wins!,3,18,3,5,9,10
1590,Left Team Wins!,1,22,0,8,6,9
1591,Right Team Wins!,3,26,1,12,6,12
1592,Right Team Wins!,2,16,4,9,7,6
1593,Right Team Wins!,6,19,1,7,10,9
1594,Right Team Wins!,1,20,2,8,5,9
1595,Right Team Wins!,3,15,3,9,8,4
1596,Right Team Wins!,4,18,2,6,13,5
1597,Right Team Wins!,5,11,5,6,9,6
1598,Right Team Wins!,4,17,1,4,8,10
1599,Right Team Wins!,6,16,2,8,10,6
1600,Left Team Wins!,0,25,0,8,11,6
1601,Left Team Wins!,1,19,0,6,7,7
1602,Left Team Wins!,3,17,1,10,5,6
1603,Right Team Wins!,2,31,2,9,12,15
1604,Left Team Wins!,3,13,5,8,6,7
1605,Left Team Wins!,0,12,5,7,4,6
1606,Right Team Wins!,3,15,4,2,14,6
1607,Left Team Wins!,1,14,5,6,9,5
1608,Left Team Wins!,2,31,1,12,12,9
1609,Right Team Wins!,7,22,6,7,17,11
1610,Right Team Wins!,4,21,3,9,13,7
1611,Left Team Wins!,0,23,3,7,11,8
1612,Right Team Wins!,4,18,4,9,10,7
1613,Right Team Wins!,2,22,3,9,9,9
1614,Right Team Wins!,4,27,0,11,7,13
1615,Right Team Wins!,4,16,1,6,10,5
1616,Right Team Wins!,3,26,4,10,15,8
1617,Right Team Wins!,5,20,1,9,7,9
1618,Left Team Wins!,0,18,1,7,6,7
1619,Right Team Wins!,8,15,2,6,7,12
1620,Left Team Wins!,3,22,0,8,8,8
1621,Right Team Wins!,5,15,4,8,8,8
1622,Left Team Wins!,1,24,0,7,11,7
1623,Right Team Wins!,6,17,2,7,12,5
1624,Left Team Wins!,0,23,0,5,9,9
1625,Left Team Wins!,0,29,1,10,7,12
1626,Right Team Wins!,2,17,3,7,8,7
1627,Right Team Wins!,3,21,3,13,8,6
1628,Left Team Wins!,1,22,0,5,9,9
1629,Right Team Wins!,2,21,4,9,10,8
1630,Left Team Wins!,0,22,1,5,8,9
1631,Left Team Wins!,2,22,0,14,2,8
1632,Right Team Wins!,3,18,0,6,7,8
1633,Right Team Wins!,4,17,3,8,9,7
1634,Left Team Wins!,0,22,1,12,5,5
1635,Left Team Wins!,2,16,2,11,4,5
1636,Left Team Wins!,1,16,1,3,10,5
1637,Right Team Wins!,2,21,2,11,6,8
1638,Right Team Wins!,1,19,2,8,5,9
1639,Right Team Wins!,3,20,1,7,8,9
1640,Right Team Wins!,1,17,1,7,7,5
1641,Right Team Wins!,1,21,1,6,10,7
1642,Left Team Wins!,0,16,1,10,5,2
1643,Left Team Wins!,0,33,1,15,7,12
1644,Right Team Wins!,1,28,4,11,12,10
1645,Right Team Wins!,1,22,3,6,11,9
1646,Left Team Wins!,1,20,1,11,3,8
1647,Left Team Wins!,2,15,1,5,7,6
1648,Left Team Wins!,1,21,1,7,7,9
1649,Left Team Wins!,0,22,2,9,11,4
1650,Right Team Wins!,2,23,3,13,6,9
1651,Left Team Wins!,3,26,1,7,13,10
1652,Right Team Wins!,0,22,8,12,7,11
1653,Left Team Wins!,1,18,1,9,7,4
1654,Right Team Wins!,6,18,5,9,8,11
1655,Left Team Wins!,3,27,3,16,5,12
1656,Left Team Wins!,1,20,4,10,7,8
1657,Left Team Wins!,2,22,2,8,9,9
1658,Left Team Wins!,0,27,1,18,5,5
1659,Right Team Wins!,4,24,7,12,12,11
1660,Left Team Wins!,2,16,0,6,8,4
1661,Left Team Wins!,2,18,0,9,6,5
1662,Right Team Wins!,3,18,6,9,7,11
1663,Right Team Wins!,4,26,1,10,10,11
1664,Right Team Wins!,1,28,5,18,7,9
1665,Right Team Wins!,2,33,0,10,11,14
1666,Right Team Wins!,4,29,2,10,10,15
1667,Left Team Wins!,1,28,1,4,13,13
1668,Right Team Wins!,5,13,1,5,10,4
1669,Right Team Wins!,1,33,1,12,13,10
1670,Right Team Wins!,5,28,2,13,8,14
1671,Left Team Wins!,0,18,0,5,7,6
1672,Left Team Wins!,0,24,0,13,1,10
1673,Left Team Wins!,1,15,0,5,7,4
1674,Left Team Wins!,0,16,1,5,8,4
1675,Right Team Wins!,1,18,4,6,11,6
1676,Right Team Wins!,3,18,4,8,10,7
1677,Right Team Wins!,7,21,1,12,7,9
1678,Right Team Wins!,2,25,2,13,13,3
1679,Left Team Wins!,2,16,1,2,11,6
1680,Left Team Wins!,5,13,1,6,6,7
1681,Right Team Wins!,2,13,4,5,10,4
1682,Left Team Wins!,2,16,0,7,5,6
1683,Left Team Wins!,3,30,0,10,12,11
1684,Left Team Wins!,3,20,1,8,7,9
1685,Left Team Wins!,3,22,0,10,4,11
1686,Left Team Wins!,0,25,0,7,9,9
1687,Left Team Wins!,2,17,1,6,10,4
1688,Left Team Wins!,2,22,1,9,11,5
1689,Right Team Wins!,5,12,2,8,3,7
1690,Left Team Wins!,2,17,1,9,6,5
1691,Right Team Wins!,5,15,3,4,8,11
1692,Left Team Wins!,2,23,1,6,12,8
1693,Right Team Wins!,5,19,1,7,9,9
1694,Right Team Wins!,9,11,0,5,10,5
1695,Right Team Wins!,4,24,2,7,9,14
1696,Left Team Wins!,0,19,1,4,11,5
1697,Right Team Wins!,5,20,2,7,7,13
1698,Right Team Wins!,5,18,4,7,6,14
1699,Left Team Wins!,1,20,1,3,9,10
1700,Right Team Wins!,2,26,3,14,10,7
1701,Right Team Wins!,5,21,3,6,8,15
1702,Right Team Wins!,4,15,2,4,9,8
1703,Left Team Wins!,5,18,3,9,8,9
1704,Left Team Wins!,4,22,0,5,8,13
1705,Right Team Wins!,7,25,2,11,12,11
1706,Right Team Wins!,3,24,2,9,8,12
1707,Right Team Wins!,5,20,3,9,11,8
1708,Left Team Wins!,1,24,1,8,7,11
1709,Left Team Wins!,0,20,1,7,7,7
1710,Right Team Wins!,5,17,0,5,10,7
1711,Left Team Wins!,4,32,0,14,11,11
1712,Left Team Wins!,0,30,0,10,11,8
1713,Right Team Wins!,4,18,0,10,6,6
1714,Left Team Wins!,1,17,0,3,8,7
1715,Left Team Wins!,1,20,0,10,6,5
1716,Right Team Wins!,4,24,5,10,17,6
1717,Left Team Wins!,0,28,1,13,8,7
1718,Right Team Wins!,1,23,1,11,9,5
